Time,Confluence,TotalCells,TumorCells,NecroticCells,QuiescentCells,ProliferativeCells,HypoxicCells,EndothelialCells,TipCells,StalkCells,OutsideCells
741,0.0359308,193,59,1,0,0,58,128,2,4,0
742,0.0359308,193,59,1,0,0,58,128,2,4,0
743,0.0359308,193,59,1,0,0,58,128,2,4,0
744,0.0359308,193,59,1,0,0,58,128,2,4,0
745,0.0359308,195,59,1,0,0,58,128,2,6,0
746,0.035941,195,59,1,0,0,58,129,2,5,0
747,0.0359513,195,59,1,0,0,58,130,2,4,0
748,0.0359615,195,59,1,0,0,58,130,2,4,0
749,0.0359717,195,59,1,0,0,58,130,2,4,0
750,0.0359819,195,59,1,0,0,58,130,2,4,0
751,0.0359921,195,59,1,0,0,58,130,2,4,0
752,0.0360024,195,59,1,0,0,58,130,2,4,0
753,0.0360126,195,59,1,0,0,58,130,2,4,0
754,0.036125,195,59,1,0,0,58,130,2,4,0
755,0.036125,195,59,1,0,0,58,130,2,4,0
756,0.036125,195,59,1,0,0,58,130,2,4,0
757,0.036125,195,59,1,0,0,58,130,2,4,0
758,0.036125,195,59,1,0,0,58,130,2,4,0
759,0.036125,195,59,1,0,0,58,130,2,4,0
760,0.036125,195,59,1,0,0,58,130,2,4,0
761,0.036125,195,59,1,0,0,58,130,2,4,0
762,0.036125,197,59,1,0,0,58,130,2,6,0
763,0.0361353,197,59,1,0,0,58,131,2,5,0
764,0.0361455,197,59,1,0,0,58,132,2,4,0
765,0.0361557,197,59,1,0,0,58,132,2,4,0
766,0.0361659,197,59,1,0,0,58,132,2,4,0
767,0.0361761,197,59,1,0,0,58,132,2,4,0
768,0.0361864,197,59,1,0,0,58,132,2,4,0
769,0.0361966,197,59,1,0,0,58,132,2,4,0
770,0.0362068,197,59,1,0,0,58,132,2,4,0
771,0.0363192,197,59,1,0,0,58,132,2,4,0
772,0.0363192,197,59,1,0,0,58,132,2,4,0
773,0.0363192,197,59,1,0,0,58,132,2,4,0
774,0.0363192,197,59,1,0,0,58,132,2,4,0
775,0.0363192,197,59,1,0,0,58,132,2,4,0
776,0.0363192,197,59,1,0,0,58,132,2,4,0
777,0.0363192,197,59,1,0,0,58,132,2,4,0
778,0.0363192,197,59,1,0,0,58,132,2,4,0
779,0.0363192,197,59,1,0,0,58,132,2,4,0
780,0.0363192,197,59,1,0,0,58,132,2,4,0
781,0.0363192,197,59,1,0,0,58,132,2,4,0
782,0.0363192,197,59,1,0,0,58,132,2,4,0
783,0.0363192,199,59,1,0,0,58,132,2,6,0
784,0.0363295,199,59,1,0,0,58,132,2,6,0
785,0.0363397,199,59,1,0,0,58,133,2,5,0
786,0.0363499,199,59,1,0,0,58,134,2,4,0
787,0.0363601,199,59,1,0,0,58,134,2,4,0
788,0.0363704,199,59,1,0,0,58,134,2,4,0
789,0.0363806,199,59,1,0,0,58,134,2,4,0
790,0.0363908,199,59,1,0,0,58,134,2,4,0
791,0.036401,199,59,1,0,0,58,134,2,4,0
792,0.0365135,199,59,1,0,0,58,134,2,4,0
793,0.0365135,199,59,1,0,0,58,134,2,4,0
794,0.0365135,199,59,1,0,0,58,134,2,4,0
795,0.0365135,199,59,1,0,0,58,134,2,4,0
796,0.0365135,199,59,1,0,0,58,134,2,4,0
797,0.0365135,199,59,1,0,0,58,134,2,4,0
798,0.0365135,199,59,1,0,0,58,134,2,4,0
799,0.0365135,199,59,1,0,0,58,134,2,4,0
800,0.0365135,201,59,1,0,0,58,134,2,6,0
801,0.0365237,201,59,1,0,0,58,134,2,6,0
802,0.0365339,201,59,1,0,0,58,134,2,6,0
803,0.0365441,201,59,1,0,0,58,136,2,4,0
804,0.0365544,201,59,1,0,0,58,136,2,4,0
805,0.0365646,201,59,1,0,0,58,136,2,4,0
806,0.0365748,201,59,1,0,0,58,136,2,4,0
807,0.036585,201,59,1,0,0,58,136,2,4,0
808,0.0365952,201,59,1,0,0,58,136,2,4,0
809,0.0367077,201,59,1,0,0,58,136,2,4,0
810,0.0367077,201,59,1,0,0,58,136,2,4,0
811,0.0367077,201,59,1,0,0,58,136,2,4,0
812,0.0367077,201,59,1,0,0,58,136,2,4,0
813,0.0367077,201,59,1,0,0,58,136,2,4,0
814,0.0367077,201,59,1,0,0,58,136,2,4,0
815,0.0367077,201,59,1,0,0,58,136,2,4,0
816,0.0367077,201,59,1,0,0,58,136,2,4,0
817,0.0367077,201,59,1,0,0,58,136,2,4,0
818,0.0367077,201,59,1,0,0,58,136,2,4,0
819,0.0367077,201,59,1,0,0,58,136,2,4,0
820,0.0367077,201,59,1,0,0,58,136,2,4,0
821,0.0367077,203,59,1,0,0,58,136,2,6,0
822,0.0367179,203,59,1,0,0,58,136,2,6,0
823,0.0367281,203,59,1,0,0,58,136,2,6,0
824,0.0367384,203,59,1,0,0,58,137,2,5,0
825,0.0367486,203,59,1,0,0,58,137,2,5,0
826,0.0367588,203,59,1,0,0,58,138,2,4,0
827,0.036769,203,59,1,0,0,58,138,2,4,0
828,0.0367792,203,59,1,0,0,58,138,2,4,0
829,0.0367895,203,59,1,0,0,58,138,2,4,0
830,0.0369019,203,59,1,0,0,58,138,2,4,0
831,0.0369019,203,59,1,0,0,58,138,2,4,0
832,0.0369019,203,59,1,0,0,58,138,2,4,0
833,0.0369019,203,59,1,0,0,58,138,2,4,0
834,0.0369019,203,59,1,0,0,58,138,2,4,0
835,0.0369019,203,59,1,0,0,58,138,2,4,0
836,0.0369019,203,59,1,0,0,58,138,2,4,0
837,0.0369019,203,59,1,0,0,58,138,2,4,0
838,0.0369019,205,59,1,0,0,58,138,2,6,0
839,0.0369121,205,59,1,0,0,58,138,2,6,0
840,0.0369224,205,59,1,0,0,58,139,2,5,0
841,0.0369326,205,59,1,0,0,58,139,2,5,0
842,0.0369428,205,59,1,0,0,58,139,2,5,0
843,0.036953,205,59,1,0,0,58,140,2,4,0
844,0.0369632,205,59,1,0,0,58,140,2,4,0
845,0.0369735,205,59,1,0,0,58,140,2,4,0
846,0.0369837,205,59,1,0,0,58,140,2,4,0
847,0.0370961,205,59,1,0,0,58,140,2,4,0
848,0.0370961,205,59,1,0,0,58,140,2,4,0
849,0.0370961,205,59,1,0,0,58,140,2,4,0
